Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID,Novel,Notes
The Minister's Wooing,1859,"Stowe, Harriet Beecher",1811,1896,1800-1899,40,0.438522,stowe_the-ministers-wooing_1859,47958,TRUE,
Work,1873,"Alcott, Louisa May",1832,1888,1800-1899,39,0.422922,alcott_work_1873,4770,TRUE,
At Fault,1890,"Chopin, Kate",1851,1904,1800-1899,39,0.422922,chopin_at-fault_1890,23810,TRUE,
Personal Recollections of Joan of Arc,1896,"Twain, Mark",1835,1910,1800-1899,39,0.422922,twain_personal-recollections-of_1896,2874,TRUE,Historical novel presented as translated memoir
Personal Recollections of Joan of Arc,1896,"Twain, Mark",1835,1910,1800-1899,39,0.422922,twain_personal-recollections-of_1896,2875,TRUE,Historical novel presented as translated memoir
Tarzan of the Apes,1912,"Burroughs, Edgar Rice",1875,1950,1900-1999,30,0.407472,burroughs_tarzan-of-the-apes_1912,78,TRUE,
The Colonel's Dream,1905,"Chesnutt, Charles W.",1858,1932,1900-1999,30,0.407472,chesnutt_the-colonels-dream_1905,19746,TRUE,
Pollyanna,1913,"Porter, Eleanor H.",1868,1920,1900-1999,30,0.407472,porter_pollyanna_1913,1450,TRUE,
The Quaker City,1845,"Lippard, George",1822,1854,1800-1899,37,0.391724,lippard_the-quaker-city_1845,,TRUE,Gothic novel
Leaves of Grass,1855,"Whitman, Walt",1819,1892,1800-1899,37,0.391724,whitman_leaves-of-grass_1855,1322,FALSE,Poetry collection
"Winesburg, Ohio",1919,"Anderson, Sherwood",1876,1941,1900-1999,29,0.38582,anderson_winesburg-ohio_1919,416,TRUE,Short story cycle
Hobomok,1824,"Child, Lydia Maria",1802,1880,1800-1899,36,0.376125,child_hobomok_1824,,TRUE,
The Europeans,1878,"James, Henry, Jr.",1843,1916,1800-1899,36,0.376125,james_the-europeans_1878,179,TRUE,
Jews without Money,1930,"Gold, Michael",1893,1967,1900-1999,28,0.364169,gold_jews-without-money_1930,,TRUE,Autobiographical novel
Hagar's Daughter,1901,"Hopkins, Pauline E.",1859,1930,1900-1999,28,0.364169,hopkins_hagars-daughter_1901,,TRUE,Serialized novel
The American Scene,1907,"James, Henry, Jr.",1843,1916,1900-1999,28,0.364169,james_the-american-scene_1907,68717,FALSE,Travel and cultural criticism
A Modern Instance,1882,"Howells, William Dean",1837,1920,1800-1899,35,0.360526,howells_a-modern-instance_1882,8203,TRUE,
The Leopard's Spots,1902,"Dixon, Thomas",1864,1946,1900-1999,27,0.342517,dixon_the-leopards-spots_1902,54765,TRUE,
White Fang,1906,"London, Jack",1876,1916,1900-1999,27,0.342517,london_white-fang_1906,910,TRUE,
The Gates Ajar,1868,"Ward, Elizabeth Stuart Phelps",1844,1911,1800-1899,33,0.329328,ward_the-gates-ajar_1868,,TRUE,
A Little Princess,1905,"Burnett, Frances Hodgson",1849,1924,1900-1999,26,0.320865,burnett_a-little-princess_1905,146,TRUE,
Ruth Hall,1855,"Fern, Fanny",1811,1872,1800-1899,32,0.313729,fern_ruth-hall_1855,40814,TRUE,
The Prince and the Pauper,1882,"Twain, Mark",1835,1910,1800-1899,32,0.313729,twain_the-prince-and-the-pauper_1882,1837,TRUE,
Elmer Gantry,1927,"Lewis, Sinclair",1885,1951,1900-1999,25,0.299214,lewis_elmer-gantry_1927,72609,TRUE,
Caballero: A Historical Novel,1930,"Raleigh, Eve",1903,1978,1900-1999,25,0.299214,raleigh_caballero-a-historical-novel_1930,,TRUE,
The Time of Man,1926,"Roberts, Elizabeth Madox",1886,1941,1900-1999,25,0.299214,roberts_the-time-of-man_1926,,TRUE,
The Emigrants,1793,"Imlay, Gilbert",1754,1828,1700-1799,16,0.296087,imlay_the-emigrants_1793,,TRUE,Epistolary novel
Democracy,1880,"Adams, Henry Brooks",1838,1918,1800-1899,30,0.28253,adams_democracy_1880,2815,TRUE,Published anonymously
Yekl,1896,"Cahan, Abraham",1860,1951,1800-1899,30,0.28253,cahan_yekl_1896,36715,TRUE,Novella
Wynema,1891,"Callahan, S. Alice",1868,1894,1800-1899,30,0.28253,callahan_wynema_1891,,TRUE,
The Hidden Hand,1859,"Southworth, E. D. E. N.",1819,1899,1800-1899,30,0.28253,southworth_the-hidden-hand_1859,,TRUE,
The Garies and Their Friends,1857,"Webb, Frank J.",1847,,1800-1899,30,0.28253,webb_the-garies-and-their-friends_1857,11214,TRUE,
Not without Laughter,1930,"Hughes, Langston",1902,1967,1900-1999,24,0.277562,hughes_not-without-laughter_1930,,TRUE,
The Star Rover,1915,"London, Jack",1876,1916,1900-1999,24,0.277562,london_the-star-rover_1915,,TRUE,
Little Men,1871,"Alcott, Louisa May",1832,1888,1800-1899,29,0.266931,alcott_little-men_1871,2788,TRUE,
Three Soldiers,1921,"Dos Passos, John",1896,1970,1900-1999,23,0.25591,dospassos_three-soldiers_1921,6362,TRUE,
Weeds,1923,"Kelley, Edith Summers",1884,1956,1900-1999,23,0.25591,kelley_weeds_1923,61201,TRUE,
Notes on the State of Virginia,1787,"Jefferson, Thomas",1743,1826,1700-1799,15,0.253383,jefferson_notes-on-the-state-of-virginia_1787,,FALSE,Political/natural history treatise
Daisy Miller,1879,"James, Henry, Jr.",1843,1916,1800-1899,28,0.251332,james_daisy-miller_1879,208,TRUE,Novella
The Gilded Age,1873,"Warner, Charles Dudley",1829,1900,1800-1899,28,0.251332,warner_the-gilded-age_1873,3178,TRUE,Co-authored with Mark Twain
The Education of Henry Adams,1907,"Adams, Henry Brooks",1838,1918,1900-1999,22,0.234259,adams_the-education-of-henry-adams_1907,2044,FALSE,Autobiography
The Sense of the Past,1917,"James, Henry, Jr.",1843,1916,1900-1999,22,0.234259,james_the-sense-of-the-past_1917,63369,TRUE,Unfinished novel
